tag,subject tag title,kind,level,parent,path,description,direct documents,total documents
rtp,RTP,technology,2,real-time-communications,/real-time-communications/rtp,Real-time Transport Protocol,89,285
rtcp,RTCP,technology,3,rtp,/real-time-communications/rtp/rtcp,"RTP Control Protocol: feedback, reports, extended reports",59,59
rtp-payload-format,RTP Payload Formats,technology,3,rtp,/real-time-communications/rtp/rtp-payload-format,RTP payload formats for specific codecs and media,96,96
srtp,SRTP,technology,3,rtp,/real-time-communications/rtp/srtp,Secure RTP,42,42
sdp,SDP,technology,2,real-time-communications,/real-time-communications/sdp,Session Description Protocol and offer/answer,99,99
sigtran,SIGTRAN,technology,2,real-time-communications,/real-time-communications/sigtran,SS7 signalling transport over IP,19,19
sip,SIP,technology,2,real-time-communications,/real-time-communications/sip,"Session Initiation Protocol: call signalling, extensions, deployment",343,377
p2psip,P2PSIP,technology,3,sip,/real-time-communications/sip/p2psip,Peer-to-peer SIP and RELOAD,9,9
siprec,SIPREC,technology,3,sip,/real-time-communications/sip/siprec,SIP-based session recording,5,5
stir,STIR,technology,3,sip,/real-time-communications/sip/stir,Secure Telephone Identity Revisited: caller-ID authentication,20,20
streaming,Streaming,topic,2,real-time-communications,/real-time-communications/streaming,Media streaming delivery and operations,4,14
ppsp,PPSP,technology,3,streaming,/real-time-communications/streaming/ppsp,Peer-to-peer streaming protocols,3,3
rtsp,RTSP,technology,3,streaming,/real-time-communications/streaming/rtsp,Real Time Streaming Protocol,7,7
webrtc,WebRTC,technology,2,real-time-communications,/real-time-communications/webrtc,WebRTC: browser real-time media architecture and transports,33,35
sframe,SFrame,technology,3,webrtc,/real-time-communications/webrtc/sframe,SFrame end-to-end media encryption,1,1
whip,WHIP,technology,3,webrtc,/real-time-communications/webrtc/whip,WebRTC-HTTP ingestion (WHIP),1,1
routing,Routing,topic,1,,/routing,"Routing in general: routers, routing systems and cross-protocol routing matters",153,1937
babel,Babel,technology,2,routing,/routing/babel,The Babel routing protocol,14,14
bfd,BFD,technology,2,routing,/routing/bfd,Bidirectional Forwarding Detection,44,44
bgp,BGP,technology,2,routing,/routing/bgp,"Border Gateway Protocol: protocol, policy, operations",238,270
bgp-communities,BGP Communities,technology,3,bgp,/routing/bgp/bgp-communities,"BGP communities: standard, extended and large",12,12
bgp-flowspec,BGP Flow Specification,technology,3,bgp,/routing/bgp/bgp-flowspec,BGP flow specification for traffic filtering,7,7
bmp,BMP,technology,3,bgp,/routing/bgp/bmp,BGP Monitoring Protocol,6,6
route-reflection,Route Reflection,technology,3,bgp,/routing/bgp/route-reflection,BGP route reflection and confederations,4,4
route-server,Route Servers,technology,3,bgp,/routing/bgp/route-server,Internet exchange route servers,3,3
data-center-networking,Data Center Networking,technology,2,routing,/routing/data-center-networking,Routing and address resolution at data-centre scale,1,1
detnet,DetNet,technology,2,routing,/routing/detnet,Deterministic networking: bounded latency and loss,26,26
egp,EGP,technology,2,routing,/routing/egp,The Exterior Gateway Protocol (historic inter-domain routing),9,9
eigrp,EIGRP,technology,2,routing,/routing/eigrp,Enhanced Interior Gateway Routing Protocol,1,1
forces,ForCES,technology,2,routing,/routing/forces,Forwarding and control element separation,18,18
gsmp,GSMP,technology,2,routing,/routing/gsmp,General Switch Management Protocol,8,8
hsrp,HSRP,technology,2,routing,/routing/hsrp,The Hot Standby Router Protocol,2,2
idpr,IDPR,technology,2,routing,/routing/idpr,Inter-domain policy routing,3,3
ip-fast-reroute,IP Fast Reroute,technology,2,routing,/routing/ip-fast-reroute,"IP and LDP fast reroute, loop-free alternates",28,28
is-is,IS-IS,technology,2,routing,/routing/is-is,The IS-IS link-state routing protocol,103,103
lisp,LISP,technology,2,routing,/routing/lisp,Locator/ID Separation Protocol,33,33
lsvr,LSVR,technology,2,routing,/routing/lsvr,Link State Vector Routing (BGP-SPF),2,2
manet,MANET,technology,2,routing,/routing/manet,Mobile ad hoc network routing,47,55
aodv,AODV,technology,3,manet,/routing/manet/aodv,Ad hoc On-Demand Distance Vector routing,2,2
dsr,DSR,technology,3,manet,/routing/manet/dsr,Dynamic Source Routing,3,3
olsr,OLSR,technology,3,manet,/routing/manet/olsr,Optimized Link State Routing,3,3
mpls,MPLS,technology,2,routing,/routing/mpls,"Multiprotocol Label Switching: architecture, encapsulation, operations",226,569
gmpls,GMPLS,technology,3,mpls,/routing/mpls/gmpls,Generalized MPLS and optical/transport network control,172,172
ldp,LDP,technology,3,mpls,/routing/mpls/ldp,Label Distribution Protocol,64,64
mpls-tp,MPLS-TP,technology,3,mpls,/routing/mpls/mpls-tp,MPLS Transport Profile,50,50
pseudowire,Pseudowires,technology,3,mpls,/routing/mpls/pseudowire,Pseudowire emulation edge-to-edge,83,83
multicast,Multicast,topic,2,routing,/routing/multicast,"IP multicast routing, group membership and deployment",146,319
amt,AMT,technology,3,multicast,/routing/multicast/amt,Automatic Multicast Tunneling,4,4
bier,BIER,technology,3,multicast,/routing/multicast/bier,Bit Index Explicit Replication,11,11
igmp,IGMP,technology,3,multicast,/routing/multicast/igmp,Internet Group Management Protocol,24,24
mld,MLD,technology,3,multicast,/routing/multicast/mld,Multicast Listener Discovery,26,26
mospf,MOSPF,technology,3,multicast,/routing/multicast/mospf,Multicast extensions to OSPF,1,1
msdp,MSDP,technology,3,multicast,/routing/multicast/msdp,Multicast Source Discovery Protocol,9,9
multicast-security,Multicast Security,topic,3,multicast,/routing/multicast/multicast-security,Group key management and multicast security,18,18
pim,PIM,technology,3,multicast,/routing/multicast/pim,Protocol Independent Multicast,71,71
reliable-multicast,Reliable Multicast,topic,3,multicast,/routing/multicast/reliable-multicast,Reliable multicast transport,22,32
flute,FLUTE,technology,4,reliable-multicast,/routing/multicast/reliable-multicast/flute,FLUTE file delivery over unidirectional transport,6,6
norm,NORM,technology,4,reliable-multicast,/routing/multicast/reliable-multicast/norm,NACK-oriented reliable multicast,7,7
ssm,Source-Specific Multicast,technology,3,multicast,/routing/multicast/ssm,Source-specific multicast,25,25
nimrod,Nimrod,technology,2,routing,/routing/nimrod,The Nimrod routing architecture,4,4
ospf,OSPF,technology,2,routing,/routing/ospf,Open Shortest Path First,116,143
ospfv3,OSPFv3,technology,3,ospf,/routing/ospf/ospfv3,OSPF for IPv6 (OSPFv3),27,27
overlay-networks,Overlay Networks,technology,2,routing,/routing/overlay-networks,Data-plane network virtualization overlays,6,14
geneve,Geneve,technology,3,overlay-networks,/routing/overlay-networks/geneve,Generic Network Virtualization Encapsulation,5,5
vxlan,VXLAN,technology,3,overlay-networks,/routing/overlay-networks/vxlan,Virtual eXtensible LAN encapsulation,5,5
rift,RIFT,technology,2,routing,/routing/rift,RIFT: Routing in Fat Trees,4,4
rip,RIP,technology,2,routing,/routing/rip,"Routing Information Protocol (RIP, RIPv2, RIPng)",19,19
routing-architecture,Routing Architecture,topic,2,routing,/routing/routing-architecture,"Routing architecture, scalability and design principles",24,46
ecmp,ECMP,technology,3,routing-architecture,/routing/routing-architecture/ecmp,Equal-cost multipath and load-balanced forwarding,22,22
routing-security,Routing Security,topic,2,routing,/routing/routing-security,Securing routing protocols and infrastructure,7,74
bgpsec,BGPsec,technology,3,routing-security,/routing/routing-security/bgpsec,BGPsec path validation,12,12
rpki,RPKI,technology,3,routing-security,/routing/routing-security/rpki,Resource Public Key Infrastructure and route origin validation,65,65
rpsl,RPSL,technology,2,routing,/routing/rpsl,Routing Policy Specification Language and Internet routing registries,12,12
segment-routing,Segment Routing,technology,2,routing,/routing/segment-routing,Segment routing architecture,43,68
sr-mpls,SR-MPLS,technology,3,segment-routing,/routing/segment-routing/sr-mpls,Segment routing with the MPLS data plane,8,8
srv6,SRv6,technology,3,segment-routing,/routing/segment-routing/srv6,Segment routing over IPv6,21,21
sfc,Service Function Chaining,technology,2,routing,/routing/sfc,Service function chaining and the network service header,19,19
traffic-engineering,Traffic Engineering,topic,2,routing,/routing/traffic-engineering,Traffic engineering of packet and transport networks,91,233
pce,PCE,technology,3,traffic-engineering,/routing/traffic-engineering/pce,Path Computation Element architecture and PCEP,90,90
rsvp-te,RSVP-TE,technology,3,traffic-engineering,/routing/traffic-engineering/rsvp-te,RSVP-TE signalling for traffic-engineered LSPs,55,55
trill,TRILL,technology,2,routing,/routing/trill,TRILL: transparent interconnection of lots of links,49,49
tvr,Time-Variant Routing,technology,2,routing,/routing/tvr,Time-variant routing over scheduled connectivity,1,1
vpn,VPN,technology,2,routing,/routing/vpn,Provider-provisioned virtual private networks,34,163
evpn,EVPN,technology,3,vpn,/routing/vpn/evpn,Ethernet VPN,32,32
l1vpn,L1VPN,technology,3,vpn,/routing/vpn/l1vpn,Layer 1 VPNs,6,6
l2vpn,L2VPN,technology,3,vpn,/routing/vpn/l2vpn,Layer 2 VPN services,32,32
l3vpn,L3VPN,technology,3,vpn,/routing/vpn/l3vpn,BGP/MPLS layer 3 VPNs,50,50
mvpn,Multicast VPN,technology,3,vpn,/routing/vpn/mvpn,Multicast in BGP/MPLS VPNs,26,26
vpls,VPLS,technology,3,vpn,/routing/vpn/vpls,Virtual Private LAN Service,18,18
vrrp,VRRP,technology,2,routing,/routing/vrrp,Virtual Router Redundancy Protocol,8,8
security,Security,topic,1,,/security,"Security in general: threat models, guidance and handbooks not specific to one mechanism",118,1914
aaa,AAA,technology,2,security,/security/aaa,"Authentication, authorization and accounting frameworks",28,159
diameter,Diameter,technology,3,aaa,/security/aaa/diameter,The Diameter protocol,47,47
radius,RADIUS,technology,3,aaa,/security/aaa/radius,The RADIUS protocol,83,83
tacacs,TACACS+,technology,3,aaa,/security/aaa/tacacs,TACACS and TACACS+,6,6
authentication,Authentication,topic,2,security,/security/authentication,"Authentication of users, hosts and messages across protocols",148,148
cms,CMS,technology,2,security,/security/cms,Cryptographic Message Syntax,98,174
s-mime,S/MIME,technology,3,cms,/security/cms/s-mime,S/MIME secure email,76,76
cose,COSE,technology,2,security,/security/cose,CBOR Object Signing and Encryption,24,24
cryptography,Cryptography,technology,2,security,/security/cryptography,"Cryptographic algorithms, parameters and usage",167,522
aes,AES,technology,3,cryptography,/security/cryptography/aes,The AES block cipher and its modes,38,38
chacha20,ChaCha20,technology,3,cryptography,/security/cryptography/chacha20,ChaCha20 and Poly1305,6,6
des,DES,technology,3,cryptography,/security/cryptography/des,DES and Triple-DES (historic ciphers),19,19
elliptic-curve,Elliptic-Curve Cryptography,technology,3,cryptography,/security/cryptography/elliptic-curve,Elliptic curve cryptography,50,71
curve25519,Curve25519,technology,4,elliptic-curve,/security/cryptography/elliptic-curve/curve25519,Curve25519 and Curve448,10,10
eddsa,EdDSA,technology,4,elliptic-curve,/security/cryptography/elliptic-curve/eddsa,Edwards-curve digital signatures,14,14
hmac,HMAC,technology,3,cryptography,/security/cryptography/hmac,Keyed-hash message authentication,34,34
key-management,Key Management,topic,3,cryptography,/security/cryptography/key-management,"Key establishment, provisioning and storage",91,91
md5,MD5,technology,3,cryptography,/security/cryptography/md5,The MD5 and MD2/MD4 message digests,33,33
otp,One-Time Passwords,technology,3,cryptography,/security/cryptography/otp,One-time password systems,13,13
pake,PAKE,technology,3,cryptography,/security/cryptography/pake,Password-authenticated key exchange,20,20
password-hashing,Password Hashing,technology,3,cryptography,/security/cryptography/password-hashing,Password hashing and memory-hard functions,1,1
post-quantum,Post-Quantum Cryptography,technology,3,cryptography,/security/cryptography/post-quantum,Post-quantum cryptography and migration,30,30
randomness,Randomness,technology,3,cryptography,/security/cryptography/randomness,Randomness requirements and generation,7,7
rsa,RSA,technology,3,cryptography,/security/cryptography/rsa,RSA encryption and signatures,29,29
sha,SHA,technology,3,cryptography,/security/cryptography/sha,The SHA family of hash functions,40,40
ddos,DDoS,topic,2,security,/security/ddos,DDoS attack mitigation and signalling,39,39
eap,EAP,technology,2,security,/security/eap,Extensible Authentication Protocol and methods,71,71
federated-authentication,Federated Authentication,technology,2,security,/security/federated-authentication,Cross-domain federated authentication frameworks,11,11
firewall,Firewalls,technology,2,security,/security/firewall,Firewalls and middlebox security traversal,55,59
socks,SOCKS,technology,3,firewall,/security/firewall/socks,The SOCKS proxy protocol,4,4
gssapi,GSS-API,technology,2,security,/security/gssapi,Generic Security Service API and mechanisms,66,66
ident,Ident,technology,2,security,/security/ident,The Identification (ident) protocol,8,8
incident-response,Incident Response,topic,2,security,/security/incident-response,Security incident exchange and coordination,5,23
iodef,IODEF,technology,3,incident-response,/security/incident-response/iodef,Incident Object Description Exchange Format,18,18
intrusion-detection,Intrusion Detection,topic,2,security,/security/intrusion-detection,Intrusion detection message exchange,6,6
ipsec,IPsec,technology,2,security,/security/ipsec,"IP security architecture: ESP, AH, policy",51,187
esp,ESP,technology,3,ipsec,/security/ipsec/esp,Encapsulating Security Payload,43,43
ike,IKE,technology,3,ipsec,/security/ipsec/ike,Internet Key Exchange,103,103
jose,JOSE,technology,2,security,/security/jose,"JSON Object Signing and Encryption (JWS, JWE, JWK)",17,17
kerberos,Kerberos,technology,2,security,/security/kerberos,The Kerberos authentication system,60,60
ltans,LTANS,technology,2,security,/security/ltans,Long-term archiving and notarization of signed data,5,5
mls,MLS,technology,2,security,/security/mls,Messaging Layer Security for end-to-end group messaging,3,3
nea,NEA,technology,2,security,/security/nea,Network endpoint assessment and posture,10,10
oauth,OAuth,technology,2,security,/security/oauth,OAuth authorization framework,34,57
gnap,GNAP,technology,3,oauth,/security/oauth/gnap,Grant Negotiation and Authorization Protocol,2,2
jwt,JWT,technology,3,oauth,/security/oauth/jwt,JSON Web Tokens,21,21
openpgp,OpenPGP,technology,2,security,/security/openpgp,OpenPGP message format and usage,15,15
pana,PANA,technology,2,security,/security/pana,Protocol for carrying authentication for network access,11,11
pem,PEM,technology,2,security,/security/pem,Privacy Enhanced Mail (historic secure email),12,12
pki,PKI,technology,2,security,/security/pki,Public key infrastructure for the Internet,76,254
acme,ACME,technology,3,pki,/security/pki/acme,Automatic Certificate Management Environment,14,14
certificate-transparency,Certificate Transparency,technology,3,pki,/security/pki/certificate-transparency,Certificate transparency logs,3,3
cmp,CMP,technology,3,pki,/security/pki/cmp,Certificate Management Protocol,13,13
est,EST,technology,3,pki,/security/pki/est,Enrollment over Secure Transport,6,6
ocsp,OCSP,technology,3,pki,/security/pki/ocsp,Online Certificate Status Protocol,13,13
spki,SPKI,technology,3,pki,/security/pki/spki,Simple Public Key Infrastructure (historic),2,2
x509,X.509,technology,3,pki,/security/pki/x509,X.509 certificates and profiles,144,144
privacy,Privacy,topic,2,security,/security/privacy,Privacy threat models and protocol privacy considerations,114,114
privacy-pass,Privacy Pass,technology,2,security,/security/privacy-pass,Privacy Pass anonymous tokens,3,3
remote-attestation,Remote Attestation,technology,2,security,/security/remote-attestation,Remote attestation of device state,9,9
sasl,SASL,technology,2,security,/security/sasl,Simple Authentication and Security Layer,26,26
scim,SCIM,technology,2,security,/security/scim,System for Cross-domain Identity Management,6,6
scitt,SCITT,technology,2,security,/security/scitt,Supply chain integrity and transparency,1,1
secevent,Security Event Tokens,technology,2,security,/security/secevent,Security event tokens and event delivery,7,7
security-labels,Security Labels,technology,2,security,/security/security-labels,"Security labels for networked data (CIPSO, CALIPSO and frameworks)",5,5
ssh,SSH,technology,2,security,/security/ssh,The Secure Shell protocol,43,43
teep,TEEP,technology,2,security,/security/teep,Trusted execution environment provisioning,1,1
tls,TLS,technology,2,security,/security/tls,"Transport Layer Security: protocol, extensions, deployment guidance",171,227
dtls,DTLS,technology,3,tls,/security/tls/dtls,Datagram TLS,56,56
trust-management,Trust Management,technology,2,security,/security/trust-management,Trust management systems (KeyNote and successors),4,4
xml-signatures,XML Signatures,technology,2,security,/security/xml-signatures,XML digital signatures and encryption,10,10
transport,Transport,topic,1,,/transport,Transport protocols and transport-layer services in general,137,976
checksum,Internet Checksum,technology,2,transport,/transport/checksum,The Internet checksum and packet integrity checks,19,19
congestion-control,Congestion Control,topic,2,transport,/transport/congestion-control,Congestion control and avoidance across transports,81,130
aqm,Active Queue Management,technology,3,congestion-control,/transport/congestion-control/aqm,Active queue management,10,14
codel,CoDel,technology,4,aqm,/transport/congestion-control/aqm/codel,The CoDel queue management algorithm,2,2
pie,PIE,technology,4,aqm,/transport/congestion-control/aqm/pie,The PIE queue management algorithm,2,2
conex,ConEx,technology,3,congestion-control,/transport/congestion-control/conex,Congestion exposure,5,5
ecn,ECN,technology,3,congestion-control,/transport/congestion-control/ecn,Explicit Congestion Notification,23,23
ledbat,LEDBAT,technology,3,congestion-control,/transport/congestion-control/ledbat,Low extra delay background transport,2,2
pcn,PCN,technology,3,congestion-control,/transport/congestion-control/pcn,Pre-congestion notification,9,9
dccp,DCCP,technology,2,transport,/transport/dccp,Datagram Congestion Control Protocol,18,18
dtn,Delay-Tolerant Networking,technology,2,transport,/transport/dtn,Delay/disruption-tolerant networking and the Bundle Protocol,21,21
fec,Forward Error Correction,technology,2,transport,/transport/fec,"Forward error correction, ARQ and network coding for loss recovery schemes for packet transport",44,44
header-compression,Header Compression,topic,2,transport,/transport/header-compression,Compressing protocol headers on constrained links,23,57
rohc,ROHC,technology,3,header-compression,/transport/header-compression/rohc,Robust Header Compression,34,34
irtp,IRTP,technology,2,transport,/transport/irtp,The Internet Reliable Transaction Protocol,1,1
netblt,NETBLT,technology,2,transport,/transport/netblt,NETBLT bulk data transfer protocol,4,4
qos,QoS,topic,2,transport,/transport/qos,Quality of service architectures and signalling,51,267
cops,COPS,technology,3,qos,/transport/qos/cops,Common Open Policy Service and policy provisioning,20,20
diffserv,Diffserv,technology,3,qos,/transport/qos/diffserv,Differentiated services,60,60
intserv,Intserv,technology,3,qos,/transport/qos/intserv,Integrated services,32,32
nsis,NSIS,technology,3,qos,/transport/qos/nsis,Next Steps in Signaling,18,18
rsvp,RSVP,technology,3,qos,/transport/qos/rsvp,Resource Reservation Protocol,114,114
quic,QUIC,technology,2,transport,/transport/quic,The QUIC transport protocol,22,22
ratp,RATP,technology,2,transport,/transport/ratp,The Reliable Asynchronous Transfer Protocol,1,1
rdp,RDP,technology,2,transport,/transport/rdp,The Reliable Data Protocol (historic transport),2,2
rserpool,RSerPool,technology,2,transport,/transport/rserpool,Reliable server pooling,8,8
sctp,SCTP,technology,2,transport,/transport/sctp,Stream Control Transmission Protocol,41,41
st2,ST-II,technology,2,transport,/transport/st2,The ST-II internet stream protocol,2,2
taps,TAPS,technology,2,transport,/transport/taps,Transport services architecture and APIs,8,8
tcp,TCP,technology,2,transport,/transport/tcp,"Transmission Control Protocol: protocol, extensions, implementation",230,243
mptcp,Multipath TCP,technology,3,tcp,/transport/tcp/mptcp,Multipath TCP,11,11
tcpcrypt,tcpcrypt,technology,3,tcp,/transport/tcp/tcpcrypt,Opportunistic TCP-level encryption (tcpcrypt),2,2
tmux,TMux,technology,2,transport,/transport/tmux,The Transport Multiplexing Protocol,1,1
transport-mapping,Transport Mappings,topic,2,transport,/transport/transport-mapping,Carrying one protocol over another transport: X-over-TLS/TCP/UDP/QUIC bindings and transport models,55,55
udp,UDP,technology,2,transport,/transport/udp,User Datagram Protocol and its usage guidelines,70,76
udp-lite,UDP-Lite,technology,3,udp,/transport/udp/udp-lite,The Lightweight User Datagram Protocol,6,6
web,Web,topic,1,,/web,The web in general: architecture and cross-protocol web matters,30,566
atom,Atom,technology,2,web,/web/atom,Atom syndication format and publishing protocol,7,7
cdn,CDN,technology,2,web,/web/cdn,Content delivery networks and CDN interconnection,19,19
html,HTML,technology,2,web,/web/html,HTML and hypertext document formats,18,18
http,HTTP,technology,2,web,/web/http,"The Hypertext Transfer Protocol: semantics, syntax, extensions",146,230
cookies,Cookies,technology,3,http,/web/http/cookies,HTTP state management: cookies,13,13
http-apis,HTTP APIs,technology,3,http,/web/http/http-apis,"Conventions for building APIs on HTTP (problem details, rate limits, etc.)",6,6
http-authentication,HTTP Authentication,technology,3,http,/web/http/http-authentication,"HTTP authentication schemes (Basic, Digest, and others)",7,7
http-caching,HTTP Caching,technology,3,http,/web/http/http-caching,HTTP and web caching,1,1
http2,HTTP/2,technology,3,http,/web/http/http2,HTTP/2,7,7
http3,HTTP/3,technology,3,http,/web/http/http3,HTTP/3,5,5
masque,MASQUE,technology,3,http,/web/http/masque,MASQUE: proxying IP/UDP over HTTP,5,5
oblivious-http,Oblivious HTTP,technology,3,http,/web/http/oblivious-http,Oblivious HTTP relay-based request privacy,3,3
web-linking,Web Linking,technology,3,http,/web/http/web-linking,Typed web links and link relations,19,19
webdav,WebDAV,technology,3,http,/web/http/webdav,WebDAV distributed authoring and versioning,22,22
opes,OPES,technology,2,web,/web/opes,Open Pluggable Edge Services: intermediary content adaptation,12,12
robots-txt,robots.txt,technology,2,web,/web/robots-txt,The Robots Exclusion Protocol (robots.txt),2,2
uri,URI,technology,2,web,/web/uri,"Uniform Resource Identifiers: syntax, schemes, resolution, templates",138,250
iri,IRI,technology,3,uri,/web/uri/iri,Internationalized Resource Identifiers,17,17
urn,URN,technology,3,uri,/web/uri/urn,Uniform Resource Names and URN namespaces,95,95
web-push,Web Push,technology,2,web,/web/web-push,Web push notification delivery,3,3
web-security,Web Security,topic,2,web,/web/web-security,Web platform security mechanisms,3,12
hsts,HSTS,technology,3,web-security,/web/web-security/hsts,HTTP Strict Transport Security,3,3
s-http,S-HTTP,technology,3,web-security,/web/web-security/s-http,"Secure HTTP (S-HTTP, historic)",3,3
token-binding,Token Binding,technology,3,web-security,/web/web-security/token-binding,TLS token binding,3,3
websocket,WebSocket,technology,2,web,/web/websocket,The WebSocket protocol,12,12
